type,geometry/type,geometry/coordinates/0,geometry/coordinates/1,properties/theme,properties/sub_theme,properties/feature_name,properties/longitude,properties/latitude
Feature,Point,144.91753432375,-37.8137384362671,Transport,Transport Terminal,Port of Melbourne,,
Feature,Point,144.968836241692,-37.8216684581887,Place Of Assembly,Theatre Live,FairFax Studio,,
Feature,Point,144.982336768182,-37.8093444587231,Health Services,Private Hospital,Epworth Freemasons Hospital : Medical Centre,,
Feature,Point,144.96169061383,-37.8105992402369,Transport,Railway Station,Melbourne Central Railway Station,,
Feature,Point,144.963100728702,-37.8108930047401,Transport,Railway Station,Melbourne Central Railway Station,,
Feature,Point,144.968072486031,-37.8147011904647,Place of Worship,Church,Collins Street Baptist Church,,
Feature,Point,144.976809080472,-37.8353076902578,Place of Worship,Church,St Thomas Aquinas Church,,
Feature,Point,144.964425882562,-37.8139525061193,Community Use,Visitor Centre,Melbourne Visitor Booth,,
Feature,Point,144.987275671763,-37.8116929882498,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Powlett Reserve,,
Feature,Point,144.970147317976,-37.7959079757171,Education Centre,Primary Schools,Carlton Primary School,,
Feature,Point,144.968469643744,-37.8212806349773,Place Of Assembly,Theatre Live,State Theatre,,
Feature,Point,144.96933253996,-37.8241137662047,Education Centre,Tertiary (University),University of Melbourne (VCA and Music),,
Feature,Point,144.98114217385,-37.8352429531289,Place Of Assembly,Theatre Live,St Martins Youth Arts Centre,,
Feature,Point,144.966551401578,-37.823813323734,Office,Office,Australian Broadcasting Corporation (ABC),,
Feature,Point,144.970639929886,-37.8034315561903,Place Of Assembly,Cinema,IMAX Melbourne,,
Feature,Point,144.989400751664,-37.8238992659834,Transport,Railway Station,Richmond Railway Station (Richmond) - Train stop,,
Feature,Point,144.964979061564,-37.8246924089335,Office,Office,Victorian Insitute of Forensic Medicine,,
Feature,Point,144.973742010011,-37.8121572789173,Transport,Railway Station,Parliament Railway Station,,
Feature,Point,144.914902626775,-37.7834651216244,Transport,Railway Station,Showgrounds Railway Station (Flemington),,
Feature,Point,144.981786260765,-37.8462631206461,Health Services,Public Hospital,Alfred Hospital,,
Feature,Point,144.97013311862,-37.8102053945163,Place Of Assembly,Theatre Live,Comedy Theatre,,
Feature,Point,144.967669503083,-37.7991304956733,Place Of Assembly,Theatre Live,La Mama Theatre,,
Feature,Point,144.969386556998,-37.816485409696,Place Of Assembly,Theatre Live,Forum Theatre,,
Feature,Point,144.964526842767,-37.7995065904416,Health Services,Public Hospital,Royal Dental Hospital,,
Feature,Point,144.947291011905,-37.8232052384507,Transport,Bridge,Webb Bridge,,
Feature,Point,144.964373486798,-37.8133127260638,Retail,Department Store,David Jones,,
Feature,Point,144.980554992725,-37.8145407488014,Place Of Assembly,Art Gallery/Museum,Sinclair's Cottage,,
Feature,Point,144.947496254547,-37.8161760471742,Leisure/Recreation,Major Sports & Recreation Facility,Etihad Stadium,,
Feature,Point,144.962760852233,-37.8027919689732,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Lincoln Square,,
Feature,Point,144.98350690799,-37.8132921649416,Residential Accommodation,Dwelling (House),Bishopscourt,,
Feature,Point,144.975259178609,-37.8097086714637,Place of Worship,Church,St Peter's Eastern Hill,,
Feature,Point,144.962422614541,-37.8118847831837,Place of Worship,Church,St Francis Church,,
Feature,Point,144.978259089269,-37.8088064667555,Place of Worship,Church,Greek Orthodox Church,,
Feature,Point,144.947671538375,-37.8035538471344,Place of Worship,Church,North Melbourne Uniting,,
Feature,Point,144.971997551189,-37.8017690847403,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Carlton Gardens North,,
Feature,Point,144.975236759799,-37.8129178793082,Mixed Use,Retail/Office,Treasury Reserve,,
Feature,Point,144.951254841448,-37.8224995970811,Specialist Residential Accommodation,Hostel,The Mission To Seafarers Victoria,,
Feature,Point,144.936833674975,-37.8116945351989,Leisure/Recreation,"Outdoor Recreation Facility (Zoo, Golf Course)",Wonderland Park,,
Feature,Point,144.964675254819,-37.8244982228756,Office,Office,State Coroners Office,,
Feature,Point,144.981625667877,-37.8413996708186,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Fawkner Park,,
Feature,Point,144.953780325865,-37.7978743305343,Education Centre,Tertiary (University),BIO 21 Institute,,
Feature,Point,144.959276859602,-37.820210269629,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Enterprize Park,,
Feature,Point,144.956389746765,-37.7993071664096,Health Services,Public Hospital,Royal Melbourne Hospital,,
Feature,Point,144.955823833257,-37.8123961677596,Community Use,Public Buildings,Commonwealth Law Courts,,
Feature,Point,144.963189789721,-37.8071585350561,Leisure/Recreation,Major Sports & Recreation Facility,City Baths,,
Feature,Point,144.939277838304,-37.7881645889621,Transport,Railway Station,Flemington Bridge Railway Station,,
Feature,Point,144.966638432727,-37.8142591432011,Mixed Use,Retail/Office/Carpark,Council House 2 (CH2),,
Feature,Point,144.971266479841,-37.8060684577258,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Carlton Gardens South,,
Feature,Point,144.968168215633,-37.8101576446961,Place of Worship,Church,Wesley Church,,
Feature,Point,144.92729572288,-37.7932109480553,Place of Worship,Church,Christ Church Kensington,,
Feature,Point,144.95728837725,-37.7983111309698,Health Services,Private Hospital,Melbourne Private Hospital,,
Feature,Point,144.954697453742,-37.8003121288849,Community Use,Police Station,Victoria Police,,
Feature,Point,144.961982577553,-37.7834303940347,Leisure/Recreation,Major Sports & Recreation Facility,Visy Park,,
Feature,Point,144.956665812218,-37.8218460949601,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Batman Park,,
Feature,Point,144.952635945774,-37.7990921023192,Office,Office,Australian Red Cross,,
Feature,Point,144.953478052064,-37.8242574266145,Place Of Assembly,Art Gallery/Museum,Polly Woodside,,
Feature,Point,144.966542722283,-37.8150754791411,Community Use,Public Buildings,Melbourne Town Hall,,
Feature,Point,144.949794297819,-37.824887401234,Mixed Use,Retail/Office,DFO South Wharf,,
Feature,Point,144.969899048343,-37.8174831423197,Place Of Assembly,Art Gallery/Museum,The Ian Potter Centre: NGV Australia,,
Feature,Point,144.94582326909,-37.8158572333481,Purpose Built,Film & RV Studio,Channel 7 - Melbourne Broadcast Centre,,
Feature,Point,144.98380297866,-37.8247252673963,Leisure/Recreation,Major Sports & Recreation Facility,AAMI Park,,
Feature,Point,144.948908460665,-37.8221818203024,Education Centre,Further Education,Kangan Batman Tafe,,
Feature,Point,144.977591098955,-37.8213252086842,Leisure/Recreation,Major Sports & Recreation Facility,Margaret Court Arena,,
Feature,Point,144.972951789291,-37.8207887122448,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Riverslide Skate Park,,
Feature,Point,144.953834240647,-37.7906174256581,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Royal Park,,
Feature,Point,144.976655130464,-37.8275635886174,Residential Accommodation,Dwelling (House),Government House,,
Feature,Point,144.986671109615,-37.820469374101,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Yarra Park,,
Feature,Point,144.962670059539,-37.8097759325888,Transport,Railway Station,Melbourne Central Railway Station,,
Feature,Point,144.954039975197,-37.8222182774409,Place Of Assembly,Art Gallery/Museum,Victoria Police Museum,,
Feature,Point,144.967681647402,-37.8169549012399,Place of Worship,Church,St Pauls Cathedral,,
Feature,Point,144.967937138226,-37.8177352402006,Community Use,Visitor Centre,Melbourne Visitor Centre,,
Feature,Point,144.969070431323,-37.8176107327202,Place Of Assembly,Art Gallery/Museum,Australian Centre For The Moving Image (ACMI),,
